report_code,report_name,jurisdiction,frequency,business_calendar_cutoff,owner_role,reviewer_role,approver_role,data_source,calculation_standard,delivery_channel,format,submission_deadline_rule,retention_years,pii_classification,control_checks,status
RR-001,Trial Balance,TZ,monthly,month_end,finance_controller,internal_auditor,super_admin,trial_balance_view,IFRS_internal,portal_and_email,"csv,pdf",T+5_business_days,7,internal_confidential,"balance_integrity,period_lock_validation",draft
RR-002,Balance Sheet,TZ,monthly,month_end,finance_controller,internal_auditor,super_admin,gl_statement_service,IFRS_internal,portal_and_email,"csv,pdf",T+7_business_days,7,internal_confidential,"statement_reconciliation,period_lock_validation",draft
RR-003,Income Statement,TZ,monthly,month_end,finance_controller,internal_auditor,super_admin,gl_statement_service,IFRS_internal,portal_and_email,"csv,pdf",T+7_business_days,7,internal_confidential,"statement_reconciliation,variance_analysis",draft
RR-004,Loan Arrears Aging,TZ,monthly,month_end,credit_manager,compliance_lead,super_admin,loan_arrears_view,portfolio_policy,portal,"csv,pdf",T+4_business_days,7,internal_confidential,"arrears_bucket_validation,member_link_integrity",draft
RR-005,PAR Summary,TZ,monthly,month_end,credit_manager,internal_auditor,super_admin,loan_arrears_view,portfolio_policy,portal,"csv,pdf",T+4_business_days,7,internal_confidential,"par_ratio_validation,denominator_control",draft
RR-006,Member Balances Summary,TZ,monthly,month_end,branch_manager,finance_controller,super_admin,members_plus_accounts_plus_loans,product_policy,portal,"csv,pdf",T+5_business_days,7,confidential_pii,"balance_crossfooting,duplicate_member_check",draft
RR-007,Dividend Register,TZ,annual,financial_year_end,finance_controller,internal_auditor,super_admin,dividend_allocations_and_payments,dividend_policy,portal_and_email,"csv,pdf",T+15_business_days,7,internal_confidential,"allocation_to_payment_reconciliation,approval_trace",draft
RR-008,Cashbook and Teller Balancing,TZ,daily,business_day_end,operations_manager,branch_manager,super_admin,v_daily_cash_summary_and_teller_sessions,cash_control_policy,portal,"csv",T+1_business_day,7,internal_confidential,"expected_vs_closing_cash,variance_reason_check",draft
RR-009,Audit Exceptions Register,TZ,monthly,month_end,internal_auditor,compliance_lead,super_admin,v_audit_exception_feed,audit_policy,portal,"csv,pdf",T+5_business_days,7,restricted,"maker_checker_violation_scan,high_value_exception_scan",draft
RR-010,Regulatory Submission Pack,TZ,quarterly,quarter_end,compliance_lead,finance_controller,super_admin,regulatory_pack_service,regulatory_standard,secure_submission,"pdf,zip",T+10_business_days,7,restricted,"completeness_check,signoff_chain_validation",draft
